Ref,Val,Package,PosX,PosY,Rot,Side
"D62","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",137.000000,-88.200000,180.000000,bottom
"D63","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",219.000000,-87.000000,180.000000,bottom
"D64","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",280.000000,-88.000000,180.000000,bottom
"D65","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",319.000000,-73.000000,270.000000,bottom
"D66","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",319.000000,-38.000000,270.000000,bottom
"D67","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",296.000000,-14.000000,0.000000,bottom
"F1","Polyfuse_Small","Fuse_1206_3216Metric",44.900000,-18.500000,180.000000,bottom
"R2","22","R_0805_2012Metric",45.000000,-25.000000,180.000000,bottom
"R3","22","R_0805_2012Metric",44.937500,-23.000000,180.000000,bottom
"R4","10K","R_0805_2012Metric",262.187500,-18.750000,0.000000,bottom
"R5","10K","R_0805_2012Metric",248.312500,-32.250000,0.000000,bottom
"R6","5.1k","R_0805_2012Metric",37.812500,-18.250000,0.000000,bottom
"R7","5.1k","R_0805_2012Metric",44.937500,-21.000000,180.000000,bottom
"SW1","SW_Push","SKQG-1155865",264.500000,-14.500000,0.000000,bottom
"U1","ATmega32U4-AU","TQFP-44_10x10mm_P0.8mm",253.500000,-24.500000,270.000000,bottom
"USB1","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12-HandSoldering",40.000000,-7.000000,0.000000,bottom
"Y1","Crystal_GND24_Small","Crystal_SMD_3225-4Pin_3.2x2.5mm",267.500000,-23.500000,90.000000,bottom
